"service_type","arrival_time_secs","yesterday_count","queue_length","clients_count","priorities_count","companies_count","avg_service_time","interarrival_time","arrival_rate","service_rate","utilization_factor","hol","rcs","les","tol","peak_hour","non_clients_count","non_priorities_count","non_companies_count","time_overflow","set"
"C",48868,58,0,0,0,0,144.487179487179,627,0,0.00692102928127773,0,0,41,0,0,TRUE,0,0,0,FALSE,1
"A",44811,89,0,0,0,0,122,620,0,0.00819672131147541,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",57074,52,0,0,0,0,184.2,451,0,0.00542888165038002,0,0,41,942,0,FALSE,0,0,0,FALSE,1
"C",38864,68,9,3,0,1,184.818181818182,84,0.00775862068965517,0.00541072306935563,1.433934169279,1215,41,393,84,FALSE,6,9,8,FALSE,1
"C",48684,72,1,1,0,0,157.627906976744,669,0.00165016501650165,0.00634405429330186,0.2601120577174,669,41,0,669,FALSE,0,1,1,FALSE,1
"C",42884,38,0,0,0,0,132.033333333333,151,0,0.00757384498863923,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",39124,38,1,1,0,0,153.25,170,0.00429184549356223,0.0065252854812398,0.657725321888412,170,41,133,170,FALSE,0,1,1,FALSE,1
"C",41828,108,4,1,0,0,17.7241379310345,16,0.00280504908835905,0.056420233463035,0.0497170769453983,1067,41,673,16,FALSE,3,4,4,FALSE,1
"C",51517,31,2,0,0,1,184.027027027027,277,0.00371057513914657,0.00543398443236892,0.68284611141754,790,41,8,277,FALSE,2,2,1,FALSE,1
"C",41603,38,0,0,0,0,154.666666666667,194,0,0.00646551724137931,0,0,41,133,0,FALSE,0,0,0,FALSE,1
"C",50848,52,0,0,0,0,181.357142857143,1842,0,0.00551398188263096,0,0,41,0,0,TRUE,0,0,0,FALSE,1
"A",42952,80,0,0,0,0,241,2051,0,0.004149377593361,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",44528,52,3,0,0,1,208.52380952381,266,0.00297619047619048,0.00479561543731446,0.620606575963719,1071,41,942,266,FALSE,3,3,2,FALSE,1
"A",45822,38,0,0,0,0,251.666666666667,8175,0,0.00397350993377483,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",54547,52,0,0,0,0,172.735849056604,102,0,0.00578918623702895,0,0,41,25,0,FALSE,0,0,0,FALSE,1
"C",53535,52,1,0,0,1,157.854545454545,26,0.00273972602739726,0.00633494586500806,0.432478206724782,26,41,0,26,FALSE,1,1,0,FALSE,1
"A",38324,72,0,0,0,0,157.2,270,0,0.00636132315521629,0,0,41,942,0,TRUE,0,0,0,FALSE,1
"C",41698,72,2,1,0,0,146.869565217391,167,0.0105263157894737,0.00680876258140912,1.54599542334096,291,41,241,167,FALSE,1,2,2,FALSE,1
"A",50938,243,6,2,6,0,381.896551724138,7142,0.00274223034734918,0.00261851015801354,1.04724831368594,9132,41,673,7142,FALSE,4,0,6,FALSE,1
"C",41055,52,1,1,0,0,144.466666666667,21,0.0078125,0.00692201199815413,1.12864583333333,21,41,942,21,FALSE,0,1,1,FALSE,1
"C",43559,58,2,2,0,0,100.290322580645,24,0.00536193029490617,0.00997105178513992,0.537749718931073,55,41,446,24,FALSE,0,2,2,FALSE,1
"A",47096,63,0,0,0,0,128.357142857143,785,0,0.00779076238174736,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",45005,72,0,0,0,0,223.583333333333,115,0,0.00447260529258293,0,0,41,241,0,FALSE,0,0,0,FALSE,1
"A",39627,60,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,FALSE,1
"C",36255,31,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,FALSE,1
"C",38621,80,3,0,0,0,209.428571428571,229,0.0021505376344086,0.00477489768076398,0.450384024577573,1231,41,942,229,FALSE,3,3,3,FALSE,1
"E",44744,89,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,FALSE,1
"C",39048,63,0,0,0,0,134,596,0,0.00746268656716418,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",47409,72,0,0,0,0,161,159,0,0.0062111801242236,0,0,41,670,0,TRUE,0,0,0,FALSE,1
"C",43158,58,2,2,0,0,128.304347826087,319,0.0035650623885918,0.00779396814639105,0.457413004727583,344,41,0,319,FALSE,0,2,2,FALSE,1
"A",39630,68,0,0,0,0,126.466666666667,2255,0,0.00790722192936215,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",43548,52,0,0,0,0,182.36,216,0,0.00548365869708269,0,0,41,1131,0,FALSE,0,0,0,FALSE,1
"C",41132,106,2,0,0,0,119,100,0.0204081632653061,0.00840336134453781,2.42857142857143,164,41,942,100,TRUE,2,2,2,FALSE,1
"E",39761,72,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,FALSE,1
"C",36282,63,2,0,0,0,287,167,0.0307692307692308,0.00348432055749129,8.83076923076923,221,0,41,167,TRUE,2,2,2,FALSE,1
"C",44179,52,0,0,0,0,154.636363636364,1535,0,0.00646678424456202,0,0,41,0,0,FALSE,0,0,0,FALSE,1
"C",38918,63,0,0,0,0,238.25,364,0,0.00419727177334732,0,0,41,706,0,FALSE,0,0,0,FALSE,1
"C",47915,52,3,1,0,0,161.363636363636,57,0.00622406639004149,0.00619718309859155,1.00433798566579,524,41,942,57,FALSE,2,3,3,FALSE,1
"C",40336,52,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,FALSE,1
